Site_Name,Site_Type,Latin_Name,Common,Year,PctFreq,Ave_Cov,Invasive,Protected,X_Coord,Y_Coord
SEN-01,Sentinel,Acer rubrum,red maple,2011,0,0.02,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Amelanchier,serviceberry,2011,20,0.02,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Andromeda polifolia,bog rosemary,2011,80,2.22,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Arethusa bulbosa,dragon's mouth,2011,40,0.04,FALSE,TRUE,574855.46,4911908.58
SEN-01,Sentinel,Aronia melanocarpa,black chokeberry,2011,100,2.64,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Carex exilis,coastal sedge,2011,60,6.6,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Chamaedaphne calyculata,leatherleaf,2011,100,10.2,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Drosera intermedia,spoonleaf sundew,2011,60,0.06,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Drosera rotundifolia,round-leaf sundew,2011,100,0.86,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Empetrum nigrum,black crowberry,2011,100,4.82,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Eriophorum angustifolium,tall cottongrass,2011,100,0.1,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Eriophorum vaginatum,tussock cottongrass,2011,60,0.44,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Gaylussacia baccata,black huckleberry,2011,20,0.4,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Gaylussacia dumosa,dwarf huckleberry,2011,100,31.2,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Ilex mucronata,mountain holly/catberry,2011,40,0.04,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Juniperus communis,common juniper,2011,40,0.04,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Kalmia angustifolia,sheep laurel,2011,100,0.1,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Kalmia polifolia,bog laurel,2011,100,0.1,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Larix laricina,tamarack,2011,40,0.22,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Myrica gale,sweetgale,2011,60,0.06,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Nuphar variegata,spatterdock,2011,20,0.6,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Picea mariana,black spruce,2011,80,2.4,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Rhododendron canadense,rhodora,2011,20,0.02,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Rhododendron groenlandicum,bog Labrador tea,2011,60,0.06,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Rhynchospora alba,white beaksedge,2011,100,0.84,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Sarracenia purpurea,purple pitcherplant,2011,100,0.28,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Solidago uliginosa,bog goldenrod,2011,100,0.1,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Symplocarpus foetidus,skunk cabbage,2011,20,0.02,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Trichophorum cespitosum,tufted bulrush,2011,100,5.6,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Trientalis borealis,starflower,2011,40,0.04,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Utricularia cornuta,horned bladderwort,2011,100,0.1,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Vaccinium oxycoccos,small cranberry,2011,100,0.28,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Viburnum nudum var. cassinoides,northern wild raisin,2011,40,0.04,FALSE,FALSE,574855.46,4911908.58
SEN-01,Sentinel,Xyris montana,northern yellow-eyed-grass,2011,40,0.04,FALSE,FALSE,574855.46,4911908.58
SEN-02,Sentinel,Acer rubrum,red maple,2011,100,0.1,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Arethusa bulbosa,dragon's mouth,2011,20,11,FALSE,TRUE,556241.98,4914369.21
SEN-02,Sentinel,Aronia melanocarpa,black chokeberry,2011,100,0.1,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Betula populifolia,gray birch,2011,20,0.02,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Carex exilis,coastal sedge,2011,100,5.04,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Carex lasiocarpa,woolly-fruit sedge,2011,40,0.04,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Carex stricta,upright sedge,2011,100,20.42,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Carex utriculata,Northwest Territory sedge,2011,60,16,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Chamaedaphne calyculata,leatherleaf,2011,100,23.4,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Drosera intermedia,spoonleaf sundew,2011,40,0.04,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Drosera rotundifolia,round-leaf sundew,2011,100,1.4,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Dulichium arundinaceum,threeway sedge,2011,60,0.06,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Eriophorum virginicum,tawny cottongrass,2011,80,1.86,FALSE,FALSE,556241.98,4914369.21
SEN-02,Sentinel,Gaylussacia baccata,black huckleberry,2011,80,1.46,FALSE,FALSE,556241.98,4914369.21
