"Plot Title: APIS01_20548905_2021_temp"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20548905, SEN S/N: 20548905, LBL: APIS01)","Bad Battery (LGR S/N: 20548905)","Coupler Attached (LGR S/N: 20548905)","Host Connected (LGR S/N: 20548905)","Stopped (LGR S/N: 20548905)","End Of File (LGR S/N: 20548905)"
1,03/14/21 17:00:00,78.274,,,,,
2,03/14/21 18:00:00,36.531,,,,,
3,03/14/21 19:00:00,28.762,,,,,
4,03/14/21 20:00:00,26.668,,,,,
5,03/14/21 21:00:00,26.031,,,,,
6,03/14/21 22:00:00,25.390,,,,,
7,03/14/21 23:00:00,24.526,,,,,
8,03/15/21 00:00:00,24.526,,,,,
9,03/15/21 01:00:00,23.216,,,,,
10,03/15/21 02:00:00,24.310,,,,,
11,03/15/21 03:00:00,23.436,,,,,
12,03/15/21 04:00:00,21.434,,,,,
13,03/15/21 05:00:00,20.302,,,,,
14,03/15/21 06:00:00,19.612,,,,,
15,03/15/21 07:00:00,18.919,,,,,
16,03/15/21 08:00:00,19.382,,,,,
17,03/15/21 09:00:00,23.436,,,,,
18,03/15/21 10:00:00,28.969,,,,,
19,03/15/21 11:00:00,34.002,,,,,
20,03/15/21 12:00:00,36.723,,,,,
21,03/15/21 13:00:00,39.573,,,,,
22,03/15/21 14:00:00,41.439,,,,,
23,03/15/21 15:00:00,40.321,,,,,
24,03/15/21 16:00:00,42.179,,,,,
25,03/15/21 17:00:00,34.786,,,,,
26,03/15/21 18:00:00,33.607,,,,,
27,03/15/21 19:00:00,31.617,,,,,
28,03/15/21 20:00:00,29.995,,,,,
29,03/15/21 21:00:00,30.607,,,,,
30,03/15/21 22:00:00,31.012,,,,,
31,03/15/21 23:00:00,31.617,,,,,
32,03/16/21 00:00:00,31.415,,,,,
33,03/16/21 01:00:00,31.415,,,,,
34,03/16/21 02:00:00,31.012,,,,,
35,03/16/21 03:00:00,30.808,,,,,
36,03/16/21 04:00:00,30.607,,,,,
37,03/16/21 05:00:00,30.403,,,,,
38,03/16/21 06:00:00,31.213,,,,,
39,03/16/21 07:00:00,30.808,,,,,
40,03/16/21 08:00:00,31.012,,,,,
41,03/16/21 09:00:00,33.411,,,,,
42,03/16/21 10:00:00,34.981,,,,,
43,03/16/21 11:00:00,35.951,,,,,
44,03/16/21 12:00:00,36.914,,,,,
45,03/16/21 13:00:00,36.723,,,,,
46,03/16/21 14:00:00,38.440,,,,,
47,03/16/21 15:00:00,39.384,,,,,
48,03/16/21 16:00:00,36.531,,,,,
49,03/16/21 17:00:00,35.951,,,,,
50,03/16/21 18:00:00,35.951,,,,,
51,03/16/21 19:00:00,34.590,,,,,
52,03/16/21 20:00:00,29.790,,,,,
53,03/16/21 21:00:00,28.139,,,,,
54,03/16/21 22:00:00,27.721,,,,,
55,03/16/21 23:00:00,27.302,,,,,
56,03/17/21 00:00:00,26.881,,,,,
57,03/17/21 01:00:00,26.881,,,,,
58,03/17/21 02:00:00,26.668,,,,,
59,03/17/21 03:00:00,27.511,,,,,
60,03/17/21 04:00:00,28.762,,,,,
61,03/17/21 05:00:00,29.790,,,,,
62,03/17/21 06:00:00,31.213,,,,,
63,03/17/21 07:00:00,31.617,,,,,
64,03/17/21 08:00:00,31.617,,,,,
65,03/17/21 09:00:00,34.198,,,,,
66,03/17/21 10:00:00,37.107,,,,,
67,03/17/21 11:00:00,37.679,,,,,
68,03/17/21 12:00:00,38.440,,,,,
69,03/17/21 13:00:00,40.881,,,,,
70,03/17/21 14:00:00,42.732,,,,,
71,03/17/21 15:00:00,41.067,,,,,
72,03/17/21 16:00:00,41.810,,,,,
73,03/17/21 17:00:00,42.363,,,,,
74,03/17/21 18:00:00,41.625,,,,,
75,03/17/21 19:00:00,36.914,,,,,
76,03/17/21 20:00:00,31.213,,,,,
77,03/17/21 21:00:00,29.379,,,,,
78,03/17/21 22:00:00,28.346,,,,,
79,03/17/21 23:00:00,27.721,,,,,
80,03/18/21 00:00:00,27.930,,,,,
81,03/18/21 01:00:00,31.213,,,,,
82,03/18/21 02:00:00,32.018,,,,,
83,03/18/21 03:00:00,33.013,,,,,
84,03/18/21 04:00:00,29.995,,,,,
85,03/18/21 05:00:00,27.511,,,,,
