"Plot Title: APIS05_20597703_2021_temp"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20597703, SEN S/N: 20597703)","Intensity, lum/ft² (LGR S/N: 20597703, SEN S/N: 20597703)","Bad Battery (LGR S/N: 20597703)","Good Battery (LGR S/N: 20597703)","Coupler Attached (LGR S/N: 20597703)","Host Connected (LGR S/N: 20597703)","Stopped (LGR S/N: 20597703)","End Of File (LGR S/N: 20597703)"
1,01/01/21 12:00:00,20.302,45.0,,,,,,
2,01/01/21 13:00:00,20.073,36.0,,,,,,
3,01/01/21 14:00:00,20.757,39.0,,,,,,
4,01/01/21 15:00:00,22.330,39.0,,,,,,
5,01/01/21 16:00:00,22.330,24.0,,,,,,
6,01/01/21 17:00:00,22.552,3.0,,,,,,
7,01/01/21 18:00:00,21.884,0.0,,,,,,
8,01/01/21 19:00:00,22.330,0.0,,,,,,
9,01/01/21 20:00:00,23.216,0.0,,,,,,
10,01/01/21 21:00:00,24.093,0.0,,,,,,
11,01/01/21 22:00:00,24.960,0.0,,,,,,
12,01/01/21 23:00:00,25.819,0.0,,,,,,
13,01/02/21 00:00:00,25.605,0.0,,,,,,
14,01/02/21 01:00:00,25.390,0.0,,,,,,
15,01/02/21 02:00:00,25.390,0.0,,,,,,
16,01/02/21 03:00:00,25.390,0.0,,,,,,
17,01/02/21 04:00:00,25.605,0.0,,,,,,
18,01/02/21 05:00:00,24.526,0.0,,,,,,
19,01/02/21 06:00:00,24.744,0.0,,,,,,
20,01/02/21 07:00:00,24.310,0.0,,,,,,
21,01/02/21 08:00:00,23.436,0.0,,,,,,
22,01/02/21 09:00:00,23.216,2.0,,,,,,
23,01/02/21 10:00:00,23.216,34.0,,,,,,
24,01/02/21 11:00:00,23.875,57.0,,,,,,
25,01/02/21 12:00:00,27.091,184.0,,,,,,
26,01/02/21 13:00:00,30.607,320.0,,,,,,
27,01/02/21 14:00:00,34.590,304.0,,,,,,
28,01/02/21 15:00:00,32.617,77.0,,,,,,
29,01/02/21 16:00:00,31.816,38.0,,,,,,
30,01/02/21 17:00:00,30.808,16.0,,,,,,
31,01/02/21 18:00:00,26.881,0.0,,,,,,
32,01/02/21 19:00:00,22.995,0.0,,,,,,
33,01/02/21 20:00:00,19.843,0.0,,,,,,
34,01/02/21 21:00:00,17.983,0.0,,,,,,
35,01/02/21 22:00:00,27.091,0.0,,,,,,
36,01/02/21 23:00:00,22.552,0.0,,,,,,
37,01/03/21 00:00:00,19.843,0.0,,,,,,
38,01/03/21 01:00:00,26.245,0.0,,,,,,
39,01/03/21 02:00:00,26.031,0.0,,,,,,
40,01/03/21 03:00:00,23.875,0.0,,,,,,
41,01/03/21 04:00:00,19.843,0.0,,,,,,
42,01/03/21 05:00:00,16.317,0.0,,,,,,
43,01/03/21 06:00:00,25.174,0.0,,,,,,
44,01/03/21 07:00:00,26.458,0.0,,,,,,
45,01/03/21 08:00:00,26.458,0.0,,,,,,
46,01/03/21 09:00:00,25.819,10.0,,,,,,
47,01/03/21 10:00:00,34.786,336.0,,,,,,
48,01/03/21 11:00:00,37.488,496.0,,,,,,
49,01/03/21 12:00:00,37.107,384.0,,,,,,
50,01/03/21 13:00:00,36.531,288.0,,,,,,
51,01/03/21 14:00:00,39.007,272.0,,,,,,
52,01/03/21 15:00:00,34.786,79.0,,,,,,
53,01/03/21 16:00:00,33.607,33.0,,,,,,
54,01/03/21 17:00:00,32.218,13.0,,,,,,
55,01/03/21 18:00:00,30.808,0.0,,,,,,
56,01/03/21 19:00:00,27.302,0.0,,,,,,
57,01/03/21 20:00:00,28.762,0.0,,,,,,
58,01/03/21 21:00:00,30.198,0.0,,,,,,
59,01/03/21 22:00:00,28.555,0.0,,,,,,
60,01/03/21 23:00:00,29.379,0.0,,,,,,
61,01/04/21 00:00:00,28.139,0.0,,,,,,
